DomainName,EnumerantValue,EnumerantDefinition
CPS,Cell Partition Scheme,
CPS,noInformation,"There is no information specified regarding the attribute value.   [Description] Depending on the nature and quality of available source, the state of the data collection/update process, and other conditions, it may not be possible to populate a value due to lack of knowledge. The reasons for the lack of a value may include, but are not limited to, the following: not populated (for example: the data store has been initialized but not yet populated); unknown (for example: an attempt was made to determine the value but the source materials were inadequate); missing (for example: a determination was attempted and despite source materials being adequate the attempt failed); withheld (for example: a determination was successful but for policy reasons the value was not retained/stored)."
CPS,fixed5r0,"A global geodetic grid consisting of 5 by 5 arc degree cells.   [Description] A cell is identified by a string of the form N15E120."
CPS,fixed1r0,"A global geodetic grid consisting of 1 by 1 arc degree cells.   [Description] A cell is identified by a string of the form 39N078W, in the same format as used by Digital Topographic Elevation Data (DTED)."
CPS,fixed0r5,"A global geodetic grid consisting of 30 by 30 arc minute cells over land.   [Description] A cell is identified by a string of the form 39N078W@@, where @@ is one of {NW, NE, SW, SE} with each individually denoting 1/4th of the base 1 by 1 arc degree cell. These sequence characters indicate the northwestern, northeastern, southweste"
CPS,fixed0r25,"A global geodetic grid consisting of 15 by 15 arc minute cells over land.   [Description] A cell is identified by a string in the form 39N078W@, where 39N078W specifies the lower-left (southwest corner), and where @ is in the character range A through P with each individually denoting 1/16th of the base 1 by 1 arc degree cell. These "
CPS,variable,"A geodetic grid consisting of variable-sized cells situated so as to cover the extent of a region of interest.   [Description] A cell, bounded by specified meridians and parallels, is identified by a string of the form -2588556:01, consisting of a series of digits and the minus (-) and colon (:) characters. The string is divided into two components by the colon character, w"
CPS,other,"The attribute value is known, but is not currently a valid member of the attribute range.   [Description] The actual value may have been previously, or may become in the future, a valid member of the attribute range."
,,
VDT,Vertical Datum,
VDT,noInformation,"There is no information specified regarding the attribute value.   [Description] Depending on the nature and quality of available source, the state of the data collection/update process, and other conditions, it may not be possible to populate a value due to lack of knowledge. The reasons for the lack of a value may include, but are not limited to, the following: not populated (for example: the data store has been initialized but not yet populated); unknown (for example: an attempt was made to determine the value but the source materials were inadequate); missing (for example: a determination was attempted and despite source materials being adequate the attempt failed); withheld (for example: a determination was successful but for policy reasons the value was not retained/stored)."
VDT,wgs84,The oblate ellipsoidal figure of the Earth defined by the World Geodetic System (WGS) 1984.
VDT,wgs84Egm96,The geopotential surface defined by the World Geodetic System (WGS) 1984 EGM96 Earth Gravity Model that is closely associated with the mean ocean surface.
VDT,meanSeaLevel,A continuous surface over the oceans (or its hypothetical extension under the land masses) defined by the mean of sea level surfaces approximated and observed over 19 years.
VDT,navd88,"A fixed reference for elevations derived from a general adjustment of the first-order terrestrial levelling nets of the United States, Canada, and Mexico.   [Description] In the adjustment, only the height of the primary tidal bench mark, referenced to the International Great Lakes Datum of 1985 local mean sea level height value, at Pointe-au-Pere, Quebec, on the Gulf of St. Lawrence was held fixed, thus providing minimum "
VDT,ngvd29,"A fixed reference for elevations derived from a general adjustment in 1929 of the first-order levelling nets of both the United States and Canada.   [Description] In the adjustment, mean sea level was held fixed as observed at 21 tide stations in the United States and 5 in Canada."
VDT,groundLevel,A continuous surface over dry land and non-tidal waters (for example: lakes).   [Description] In the case of non-tidal waters it is necessary to specify hydrologic conditions in order to ensure a precise reference surface specification. Over extensive areas it is often defined by a digital elevation model (for example: a matrix of elevation values
VDT,wgs84Egm08,The geopotential surface defined by the World Geodetic System (WGS) 1984 EGM08 Earth Gravity Model that is closely associated with the mean ocean surface.
VDT,other,"The attribute value is known, but is not currently a valid member of the attribute range.   [Description] The actual value may have been previously, or may become in the future, a valid member of the attribute range."
,,
ZI026_CTUC,Cartographic Useability Range,
ZI026_CTUC,2 = Open Interval,"The bounded open interval (minimumValue, maximumValue)."
ZI026_CTUC,3 = Greater-than-or-equal to Less-than Interval,"The right half-open bounded interval [minimimValue, maximumValue)."
ZI026_CTUC,4 = Greater-than to Less-than-or-equal Interval,"The left half-open bounded interval (minimimValue, maximumValue]."
ZI026_CTUC,5 = Closed Interval,"The bounded interval [minimimValue, maximumValue]."
ZI026_CTUC,6 = Greater-than Semi-interval,"The left half-open unbounded interval (minimumValue, +infinity)."
ZI026_CTUC,7 = Greater-than or Equal Semi-interval,"The unbounded interval [minimumValue, +infinity)."
