Stat Name	./test-files/ToyTestA.osm	./test-files/ToyTestB.osm
Node Count	36	36
Way Count	4	8
Relation Count	0	0
Total Feature Tags	8	16
Total Feature Information Tags	8	16
Total Feature Metadata Tags	0	0
Unique Names	0	0
Meters of Linear Features	1268.4	1268.4
Meters Squared of Area Features	0	0
Total POI Count	0	0
Total Highway Count	4	8
Meters of Highway	1268.4	1268.4
Highway Unique Name Count	0	0
Total Building Count	0	0
Meters Squared of Buildings	0	0
Building Unique Name Count	0	0
Conflated Feature Count	0	0
Conflated Feature Percentage	0	0
Unconflated Feature Count	40	44
Unconflated Feature Percentage	100	100
Conflated POI Count	0	0
Conflated Highway Count	0	0
Meters of Conflated Highway	0	0
Conflated Buildings Count	0	0
Meters Squared of Conflated Buildings	0	0
Number of Features Marked for Review	0	0
Percentage of Features Marked for Review	0	0
Longest Tag	4	4
Translated Populated Tag Percent	0.0336134	0.0336134
Translated Populated Tag Count	16	32
Translated Default Tag Count	184	368
Translated Null Tag Count	276	552
Building Translated Populated Tag Percent	nan	nan
Highway Translated Populated Tag Percent	0.0336134	0.0336134
POI Translated Populated Tag Percent	nan	nan
